Month,In/Out,Australia,"	Latitude",Longitude ,International,AllFlights
Mar-20,O,Sydney,,,Queenstown,  20
Mar-20,O,Sydney,,,Queenstown,  35
Mar-20,O,Sydney,,,Queenstown,  20
Mar-20,O,Sydney,,,Rarotonga,  2
Mar-20,O,Sydney,,,San Francisco,  19
Mar-20,O,Sydney,,,San Francisco,  31
Mar-20,O,Sydney,,,Santiago,  16
Mar-20,O,Sydney,,,Santiago,  9
Mar-20,O,Sydney,,,Santiago,  16
Mar-20,O,Sydney,,,Sapporo,  7
Mar-20,O,Sydney,,,Seoul,  7
Mar-20,O,Sydney,,,Seoul,  1
Mar-20,O,Sydney,,,Seoul,  9
Mar-20,O,Sydney,,,Shanghai,  23
Mar-20,O,Sydney,,,Singapore,  31
Mar-20,O,Sydney,,,Singapore,  15
Mar-20,O,Sydney,,,Singapore,  22
Mar-20,O,Sydney,,,Singapore,  18
Mar-20,O,Sydney,,,Singapore,  19
Mar-20,O,Sydney,,,Singapore,  85
Mar-20,O,Sydney,,,Suva,  3
Mar-20,O,Sydney,,,Taipei,  24
Mar-20,O,Sydney,,,Tokyo,  30
